park,entity_id,name_en,name_ja,icon,queue_type,queue_icon,weather_note,thrill_level,thrill_icon,thrill_note
東京ディズニーランド,e0887415-3da2-458c-8b88-0691e6b8ab63,Jungle Cruise: Wildlife Expeditions,ジャングルクルーズ：ワイルドライフ・エクスペディション,🐘,一部屋根あり,🌦️,混雑時は濡れる可能性,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,a0a63e1c-3fc6-4433-b9b1-f5e798ab1f00,Chip 'n Dale's Treehouse,チップとデールのツリーハウス,🐿️,屋外,☀️,雨・暑さ対策が必要,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,4f0b3416-0b0a-419b-ba8c-6ee00b7d7144,The Enchanted Tiki Room: Stitch Presents “Aloha E Komo Mai!”,魅惑のチキルーム：スティッチ・プレゼンツ“アロハ・エ・コモ・マイ！”,🦜,屋根あり,☂️,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,512fd34c-2f0a-4e0a-bcc1-ef4d15c5f803,Star Tours: The Adventures Continue,スター・ツアーズ：ザ・アドベンチャーズ・コンティニュー,🚀,屋内,🏠,雨を避けやすい,軽いスリル,⚠️,回転・揺れ・小さな落下など
東京ディズニーランド,dfe25d8e-e234-4020-a261-30c6825d0680,Splash Mountain,スプラッシュ・マウンテン,💦,一部屋根あり,🌦️,混雑時は濡れる可能性,絶叫強め,😱,急降下・高速・強い揺れなど
東京ディズニーランド,2d215a6d-77a2-4c44-a2e3-c293c1289876,Donald's Boat,ドナルドのボート,🦆,屋外,☀️,雨・暑さ対策が必要,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,6922377e-0ff4-481f-9da3-35051938732a,Pinocchio's Daring Journey,ピノキオの冒険旅行,🪵,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,78510449-ec64-47d3-a140-7b473dbaddf2,Dumbo The Flying Elephant,空飛ぶダンボ,🐘,屋外,☀️,雨・暑さ対策が必要,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,f82709b6-51a3-4b65-8d6f-c2472f5053df,Cinderella's Fairy Tale Hall,シンデレラのフェアリーテイル・ホール,🏰,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,392ca2e8-afe0-4103-b296-c45bd373d036,Mickey's PhilharMagic,ミッキーのフィルハーマジック,🎼,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
